tag,questions,paragraph,source,answer
act 40 note 19,"['what if a person uses bad words', 'is bad language considered under army act 40', 'bad language in army act 40']",The use of what is commonly known as 'bad' language need not necessarily give rise to a charge either under this section or AA.s.63.,../index used/aa41and40.json,
act 41 main text 1,"['the punishment according to army act 41', 'what punishment is given to the subject if commits crime according to army act 41', 'what if any one disobeys the superior officer', 'what if the command is given orally by superior and not followed', 'how many years of imperisonment is to suffer if anyone disobays the command according to army act 41', 'who all can be tried under army act 41?', 'Who all can not charged under this act?']","(1) Any person subject to this act who disobeys in such manner as to show a wilful defiance of authority any lawful command given personally by his superior officer in the execution of his office whether the same is given orally, or in writing or by signal or otherwise shall, on conviction by court-martial be liable to suffer imprisonment for a term which may extend to fourteen years or such less punishment as is in this Act mentioned",../index used/aa41and40.json,
act 41 main text 2,"['what punishment is given according to army act 41 if anyone disobeys any lawful command given by his superior officer when on active service', 'how many years of imperionment is to suffer if anyone disobeys the command of senior officer when on active service', 'punishment of disbeying the superior on active service', 'what is the punishment given for disobedience to superior officer?', 'Can the term of punishment be extended? If so then what is the period?']","""Any person subject to this Act who disobeys any lawful command given by his superior officer shall, on conviction by court-martial. 
            if he commits such offence when on active service, be liable to suffer imprisonment for a term which may extend to fourteen years or such less punishment as is in this Act mentioned; and
            if he commits such offence when on active service, be liable to suffer imprisonment for a term which may extend to five years or such less punishment as is in this Act mentioned.
            ",../index used/aa41and40.json,
act 41 note 1,['is offences under army act 41 similarily dealt as army act 80 or 83 or 84'],"Offences under this section, when on active service, should not be dealt with summarily under AA.s 80, 83 or 84",../index used/aa41and40.json,
act 41 note 2,"['is offence under army act 41 made the subject of a joint charge', 'can anyone made subject of a joint charge if he disobeyed any supeior']",An offence under this section cannot be made the subject of a joint charge.,../index used/aa41and40.json,
act 41 note 3,['what is lawful commandwhat is the meaning of lawfull command?'],"Lawful Command.—The command must be a specific command to an individual i.e., it must be capable of individual execution by the person to whom it is addressed and justified by military, as well as by civil, law and usage, e.g., a command addressed by a superior officer to four persons to 'dismiss' is for the purposes of this section a lawful military command to each of the four persons so addressed. The command must relate to military duty that is to say disobedience to it must tend to impede, delay or prevent a military proceeding. The disobedience must have reference to the time at which the command is to be obeyed. If the command be a lawful command, and demands a prompt and immediate compliance, hesitation or unnecessary delay in obeying it may be sufficient to constitute an offence under this section. A person who on being ordered to do a certain thing at some time, uses words expressing an intention not to obey and is immediately confined, does not commit an offence under this section. He should be charged under not AA.s.40(c) or 63 according to the circumstances of the case. A neglect to carry out an order due to misapprehension, or forgetfulness, does not constitute an offence under this section though non-compliance with an order through forgetfulness or negligence would be chargeable under AA.s.63",../index used/aa41and40.json,
act 41 note 4 a,"['essential ingredients of disobeying superior', 'what all charges comes under disobedience of a lawful command ']","The essential ingredients of this offence are that the disobedience should show a wilful defiance of authority and should be disobedience of a lawful command given personally in the execution of his office by a superior officer; in fact, it would ordinarily be such an offence as would fall under AA.s,37 if two or more persons joined in it. In order, therefore, to convict an accused of an offence under this sub-sec it must be shown (i) that a lawful command was given by a superior officer, (ii) that it was given personally by such officer; (iii) that it was given by such officer in the execution of his office; (iv) that the accused disobeyed it, not from any misunderstanding or slowness but so as to show a wilful defiance of his superior officer's authority.",../index used/aa41and40.json,
act 41 note 4 b,['what all charges comes under disobedience '],"The disobedience must be willful and deliberate, and distinguished from disobedience arising from forgetfulness or misapprehension (which might, however, be punished under AA.s. 63). It is not disobedience in the sense of this section if a sepoy declines to sign his accounts on the grounds that they are incorrect; nor his failure to obey a command where obedience would be physically impossible.",../index used/aa41and40.json,
act 41 note 4 c,[],"Religious scruples, however, bonafide, afford no justification for disobedience of commands which are clearly lawful.",../index used/aa41and40.json,
act 41 note 4 d,[],"Disobedience to an order of a general nature, as for instance to a regimental order or a para of regulations, is not chargeable under this section but under AA.s.42(e) or 63",../index used/aa41and40.json,
act 41 note 5 a,"['who is superior officer', 'what do you mean by superior officer', 'how will you define a superior officer', 'tell me the defination of superior officer']","(a) Superior officer; see AA.s.3(xxiii).—A 'superior officer' whose command has been restricted, either by the terms of his commission or by regulations, cannot give a lawful command to a person who is, by the terms of such restrictions, placed outside his control",../index used/aa41and40.json,
act 41 note 5 b,"['what if Disobedience of a lawful order given by a person who is not a superior officer', 'what if the disobedience was prejudicial to good order and military discipline']","Disobedience of a lawful order given by a person who is not a superior officer within the meaning of AA.s.3(xxiii) may be punishable under AA.s.63 if the disobedience was prejudicial to good order and military discipline; for instance, a civilian cannot give a 'lawful command' under this section to a soldier employed under him; but it may well be the soldier's duty as such to do the act indicated, and, if so, he may be punished for not doing it under AA.s.63. The particulars of the charge should clearly show that the disobedience was prejudicial to good order and military discipline because the soldier had been placed under the orders of the civilian by a superior military authority",../index used/aa41and40.json,
act 41 note 5 c,[],The particulars of the charge must set out the name of the superior officer and a charge for disobeying an order given by two different superior officers would be bad for duplicity. AR 30(1).,../index used/aa41and40.json,
act 41 note 7,[],"A court trying an accused for an offence under this sub sec could, if it was not satisfied that the order was given in the execution of the superior's office, find the accused guilty of an offence under sub sec (2) provided that in all other respects an offence under this section had been committed (AA.s.139(7)).        ",../index used/aa41and40.json,
act 41 note 8,"['sub section 2 of army act 41', 'offences under sub section 2 in army act 41']",Sub sec. (2).—The offence under this sub sec is a less grave offence when not committed on active service and consists of disobedience of any lawful command given by a superior officer but not accompanied by the essential elements of the graver offence under sub sec (1).,../index used/aa41and40.json,
act 41 note 9,"['what is needed if someone is charged with disobeying the senior officer', 'what to specify if disobeyed the superior']","The particulars of the charge must specify the command, the name of the superior officer giving it, the fact of disobedience and if the charge is laid under sub sec (1) also that it was given personally by superior officer in the execution of his office specifying the nature of the offence and the manner in which the disobedience showed a willful defiance of authority.        ",../index used/aa41and40.json,
COI 1,"['What is a court of inquiry?', 'what does court of inquiry mean', 'C of I meaning', 'Give definition of court of inquiry?', 'how can you define Court of inquiry', 'Court of inquiry', 'who are included in court of inquiry']","A Court of Inquiry (C of I) is an assembly of Officers or of JCOs or of Offrs and JCOs, WOs, and NCOs, directed to collect and record evidence, and if so required to  report (by opinion, recommendations and declaration etc)  with regard to any matter which may be referred to them.",../index used/coiindex.json,
COI 2,"['what does C of I do', 'what type of work C of I do', 'court of inquiry is what type of body', 'when COI comes into existance', 'when Court of inquiry comes into existance', 'the process of COI', 'the process of court of inquiry', 'when COI comes into existance', 'when Court of inquiry comes into existance', 'the process of COI', 'the process of court of inquiry']","A C of I is a formal fact finding body.  When the circumstances of any act or omission are unknown or shrouded in mystery or a doubt exists about the culpability or innocence of a person subject to the AA or the Act and instructions make it mandatory and obligatory, a C of I may be assembled to investigate or ascertain the lapses, if any. A list of the cases which are necessarily required to be investigated by a C of I is attached at Appendix ‘B’.  C of I is investigation but does not by itself determine the penal consequences of any act/omission or neglect as disclosed in the evidence/statement adduced before the C of I.  It is not a Court in strict sense, as it is not empowered to record a finding of ‘Guilty’ or ‘Not Guilty’ or award any sentence in consequence thereof.  The detail guidelines for holding the C of I are given in Army HQ letter No A/46440/AG/DV-1(P) dt 03 May 01",../index used/coiindex.json,
COI 6 a,"['testimonies of what type of witness should be recorded', 'list of witness whose testimony should be recorded']","The Testimony of following witnesses should be recorded.<br>
    
            (i)	Eye witnesses, including civilians, to the incident.<br>
            
            (ii)	Co-driver/person(s) sitting on co-driver’s seat and the driver of the vehicle.<br>
            
            (iii)	Persons sitting in the body of the vehicle.<br>
            
            (iv)	Persons who inspected the vehicle for roadworthiness before commencement of the journey.<br>
            
            (v)	Persons who inspected the vehicle after the incident.<br>
            
            (vi)	Medical Officers who attended the victim, declared the person(s) dead and carried out postmortem exam.<br>
            
            (vii)	Persons who identified the dead body to the various Medical Officers.<br>
            
            (viii)	Persons who took over the body after postmortem exam and performed last rites.<br>
            
            (ix)	Persons who can produce evidence regarding cost of damage caused to the vehicle as a result of the incident<br>
            ",../index used/coiindex.json,
COI 6 b,"['details to be recorded in MT accident cases', 'what details one have to record in MT accident cases']","Other details to be recorded regarding MT accident cases: -<br>
    
            (i)       Mission of the vehicle (whether on bonafide duty).<br>
            
            (ii)      Whether it was road-worthy before commencement of the journey.<br>
            
            (iii)    Whether the driver was physically fit to undertake the journey and drive the vehicle or had he complained of any illness before proceeding on duty.  Experience of driver of driving vehicle in such terrain.<br>
            
            (iv)   Road/route on which the vehicle was driven immediately prior to the incident, nature or traffic on the road, road surface, weather conditions, width of the road and width of the road berms, topography of the place of incident and so on.<br>
            
            (v)      Circumstances leading to the incident, if any as sudden failure of brakes,
                       appearance of cattle or the victim in front of the vehicle.<br>
            
            (vi)     How exactly did the incident occur?  This should be brought out in details in a clear and cogent manner without vagueness. The record should give a clear picture so that it may be possible to deduce whether the driver could not have avoided the collision/incident or not?<br>
            
            (vii)    The exact place where the collision/incident took place.<br>
            
            (viii)   Events after the incident such as evacuation of the victim/other injured persons to hospital, reporting the incident to various people, post-mortem, cremation/burial of the deceased etc.
            ",../index used/coiindex.json,
COI 6 c,"['documents should be produced through a competent witnesses', 'what documents to be produced by a competent witness', 'which documents should produced through a competent witnesses ', 'documents needed for production through a competent witnesses', 'court of inquiry for a competent witnesses']","The following documents should be produced through a competent
                            witnesses :-<br>
    
                    (i)	Traffic accident report (IAF – 2002).<br>
    
                    (ii)	Technical  Inspection Report (EO-3).<br>
    
                    (iii)	Extract of car diary.<br>
    
                    (iv)	Civil police ‘Panchanama’ with English Translation.<br>
    
                    (v)	Provost unit report.<br>
    
                    (vi)	No claim cert if applicable.<br>
    
                    (vii)	Cost of damage as assessed by EME wksp and also audit authorities, 
                    if available.<br>
    
                    (viii)	Particulars of the insurance company with which the civil vehicle  is insured.<br>
    
                    (ix)	No action cert from the police (if applicable)<br>
    ",../index used/coiindex.json,
COI 6 d,"['Medical Evidence should be recorded in the C of I proceedings', 'how to record Medical Evidence in military training accidentswhich Medical Evidence should be recorded in the C of I proceedings pertaining to MT accidents', 'medical evidences recording in Court of inquiry']","Following Medical Evidence should be recorded in the C of I proceedings pertaining to MT accidents:-<br>
    
            (i)   The Medical Officer who first attended to the victim after the incident, should state:-<br>
            
            (aa)	Gen condition of the victim.<br>
            (ab)     Injuries observed by him on the person of the victim.<br>
            (ac)	Treatment given.<br>
            (ad)	If brought dead or died while he was being examined.<br>
            (ae)	Whether he declared the victim dead.<br>
            (af)	Probable cause of death of the victim, if possible.
            <br>
            (ii)	If the victim was treated by some other MO and died later, the said MO  should state:-<br>
            
            (aa)	Nature of injuries.<br>
            (ab)	Probable cause of injuries.<br>
            (ac)	How long the victim was treated.<br>
            (ad)	Date of discharge; or<br>
            (ae)	Cause, date and time of death  <br>
            
            (iii)	The doctor who conducted the post-mortem examination of the victim should state:-<br>
            
            (aa)	Gen Condition.<br>
            (ab)	External injuries.<br>
            (ac)	Internal injuries.<br>
            (ad)	Probable cause of death.<br>
            (ae)	Who identified the dead body to the Medical Officer.<br>
            ",../index used/coiindex.json,
COI 19,[],"If the court doubts the truthfulness of a witness, it should test his evidence by cross-examination while bearing in mind the evidence already before the Court.  ",../index used/coiindex.json,
COI 20,[],"Witness is not allowed to be represented by an advocate, though his legal representative may be allowed to sit silently in the Court while evidence is being recorded.  No right of audience to such advocate/legal representative should be accorded",../index used/coiindex.json,
COI 21,[],"The Court should  strictly adhere to the terms of reference  and avoid recording unnecessary, irrelevant or superfluous evidence.",../index used/coiindex.json,
COI 22,[],"The Court must record  detailed findings and express opinion, if directed by the convening authority  to do so.",../index used/coiindex.json,
COI 23,[],The proceedings should be submitted to the convening authority or to such authority as has been stated in the convening order. ,../index used/coiindex.json,
COI 24,[],"Before submitting the proceedings of the Court of Inquiry, the Presiding Officer will ensure that an index as shown below has been attached separately for statements of witnesses and Exhibits",../index used/coiindex.json,
COI 25,['how to put covers on the information files']," Each copy of the C of I proceedings duly completed in all respects shall be placed in separate file cover. The following information shall be neatly written on each cover: -<br>
                (a) Copy No.<br>
                (b) Proceedings of the Court of Inquiry in respect of No. Rank, Name __________ and unit ____________________ to investigate the circumstance etc. held on____.<br>
                ",../index used/coiindex.json,
COI 26,[],"In view of computer generated copies, the copy duly signed and marked Copy No. 1 be treated as original (manuscript dispensed with).",../index used/coiindex.json,
COI 5,"['court of inquiry Proceedings', 'C of I Proceedings']","(a)      Except in the cases of prisoner of war, who is still absent, any  officer or soldier whose character or military reputation is affected by the inquiry shall be given following opportunities under the provisions of AR 180 :-<br>
                (i)    Being present throughout  the inquiry,<br>
                (ii)   Making any statement,<br>
                (iii)  Giving any evidence he may wish,<br>
                (iv)  Cross-examining witnesses, and <br>
                (v)   Calling witnesses in defence. <br>
                The Presiding Officer of the Court shall take such steps as may be necessary to ensure that any such person so affected and not previously notified receives notice of and fully understands his rights under this Rule. Non compliance of AR 180 may prove to be FATAL. A bare perusal of the said Rule should make it manifest that it incorporates a salutary principle of ‘natural justice’ namely the rule ‘Audi Alterum Partem’ which means, ‘no one be condemned unheard’.<br>
                (b)    Evidence is not taken on oath except when it is assembled on returned prisoners of war; to inquire into illegal absence under AA Sec 106; and when so directed by the convening authority (AR 181 refers).<br>
                (c)   Members are not sworn but in the case of a C of I on returned prisoners of war, a declaration is made as provided by Army Rule 178.<br>
                (d)   The evidence will be taken down in writing and it is the duty of the Court to test the truth or accuracy of the evidence given (AR 179(4) refers).<br>
                (e)  The proceedings of a Court of Inquiry are not admissible in evidence against a person subject to Army Act in any trial unless the charge be under AA Sec 60 in relation to evidence he gave at the C of I or the use of the C of I by the prosecution or defence for the purpose of cross examining any witness (AR 182).<br>
                ",../index used/coiindex.json,
COI 3,['Assembly – Who can order and its Composition'],"(a)   It may be convened by order of the  Officer in Command of any body of troops  (AR 177(3) refers).  NOT by any staff offrs.  However, staff offr can sign convening order  ‘for’  the CO/Cdr on his behalf. A specimen of Convening Order of C of I  is attached  as  Appendix C . An officer assembling the C of I is empowered to order its re-assembly as often as he wishes for the purpose of examining additional witnesses, or further examining any witness, or recording further info (AR 179(5) refers).<br>
                (b)  It may consist of any number of members but minimum two are mandatory.  They can be officers or JCOs or one officer and one JCO or one officer or JCO and one WO or one officer or JCO and one NCO.   Presiding Officer can be either an officer or a JCO depending upon the requirement of a case.  A person not subject to AA (civilian) can NOT be member of the C of I.<br>
                (c)  Person in attendance - In technical inquiries, where presence of an expert would facilitate the task of investigation, persons with special knowledge in that field can be co-opted as person in attendance.  For example – a person from accounts dept can be co-opted to assist the C of  I assembled in connection with financial irregularities so that he may properly guide the investigation of the court. In the event of the officer of Defence Accounts Department finding himself unable to agree with the conclusions of the Court, it will be open to him to record a note of  dissent. (RA 519 refers). Persons from the field of Medical, Engineering or Law etc, if necessary, can also be co-opted to assist the C of I but they do not constitute the C of I as such.  In a joint C of I involving civil authorities, representative of police/civil adm may be co-opted as person in attendance.<br>
                (d)  In the normal practice, three members are detailed as members of C of I (Note 3 to AR 177).  The Presiding Officer should be appointed by name and in default, the senior member will preside.  All concerned are to be informed of the sittings of the Court.   A C of I is not a ‘must’ in all cases for initiating disciplinary action.  It should be convened only when a prolonged examination of witnesses, documents of accounts or any local investigation is required which cannot be conveniently done by a CO.  In cases where the facts are straight and clear, and there is no ambiguity as to the circumstances of the case, a C of I is not necessary unless it is obligatory to do so. In such cases, hearing of charge and a S of E may be recorded without first having recourse to investigation by a C of I. Where a C of I has been convened, the decision with regard to taking disciplinary action will normally be taken by the convening authority if competent to take the direct action or by superior authority who is competent to do so<br>
                ",../index used/coiindex.json,
